Region,Division,St_Code,County_Code,CityCountyFIPS ,StateTerritory,CountyDistrict
3,5,11,1,11001,District of Columbia,District of Columbia
3,7,22,1,22001,Louisiana,Acadia Parish
3,7,22,3,22003,Louisiana,Allen Parish
,,72,1,72001,Puerto Rico,Adjuntas Municipio
,,72,3,72003,Puerto Rico,Aguada Municipio
3,6,1,1,1001,Alabama,Autauga County
3,6,1,3,1003,Alabama,Baldwin County
4,8,4,1,4001,Arizona,Apache County
4,8,4,3,4003,Arizona,Cochise County
3,7,5,1,5001,Arkansas,Arkansas County
3,7,5,3,5003,Arkansas,Ashley County
4,9,6,1,6001,California,Alameda County
4,9,6,3,6003,California,Alpine County
4,8,8,1,8001,Colorado,Adams County
4,8,8,3,8003,Colorado,Alamosa County
1,1,9,1,9001,Connecticut,Fairfield County
1,1,9,3,9003,Connecticut,Hartford County
3,5,10,1,10001,Delaware,Kent County
3,5,10,3,10003,Delaware,New Castle County
3,5,12,1,12001,Florida,Alachua County
3,5,12,3,12003,Florida,Baker County
3,5,13,1,13001,Georgia,Appling County
3,5,13,3,13003,Georgia,Atkinson County
4,9,15,1,15001,Hawaii,Hawaii County
4,9,15,3,15003,Hawaii,Honolulu County
4,8,16,1,16001,Idaho,Ada County
4,8,16,3,16003,Idaho,Adams County
2,3,17,1,17001,Illinois,Adams County
2,3,17,3,17003,Illinois,Alexander County
2,3,18,1,18001,Indiana,Adams County
2,3,18,3,18003,Indiana,Allen County
2,4,19,1,19001,Iowa,Adair County
2,4,20,1,20001,Kansas,Allen County
3,6,21,1,21001,Kentucky,Adair County
1,1,23,1,23001,Maine,Androscoggin County
3,5,24,1,24001,Maryland,Allegany County
1,1,25,1,25001,Massachusetts,Barnstable County
2,3,26,1,26001,Michigan,Alcona County
2,4,27,1,27001,Minnesota,Aitkin County
3,6,28,1,28001,Mississippi,Adams County
2,4,29,1,29001,Missouri,Adair County
4,8,30,1,30001,Montana,Beaverhead County
2,4,31,1,31001,Nebraska,Adams County
4,8,32,1,32001,Nevada,Churchill County
1,1,33,1,33001,New Hampshire,Belknap County
1,2,34,1,34001,New Jersey,Atlantic County
4,8,35,1,35001,New Mexico,Bernalillo County
1,2,36,1,36001,New York,Albany County
3,5,37,1,37001,North Carolina,Alamance County
2,4,38,1,38001,North Dakota,Adams County
2,3,39,1,39001,Ohio,Adams County
3,7,40,1,40001,Oklahoma,Adair County
4,9,41,1,41001,Oregon,Baker County
1,2,42,1,42001,Pennsylvania,Adams County
1,1,44,1,44001,Rhode Island,Bristol County
3,5,45,1,45001,South Carolina,Abbeville County
3,6,47,1,47001,Tennessee,Anderson County
3,7,48,1,48001,Texas,Anderson County
4,8,49,1,49001,Utah,Beaver County
1,1,50,1,50001,Vermont,Addison County
3,5,51,1,51001,Virginia,Accomack County
4,9,53,1,53001,Washington,Adams County
3,5,54,1,54001,West Virginia,Barbour County
2,3,55,1,55001,Wisconsin,Adams County
4,8,56,1,56001,Wyoming,Albany County
2,4,19,3,19003,Iowa,Adams County
2,4,20,3,20003,Kansas,Anderson County
3,6,21,3,21003,Kentucky,Allen County
1,1,23,3,23003,Maine,Aroostook County
3,5,24,3,24003,Maryland,Anne Arundel County
1,1,25,3,25003,Massachusetts,Berkshire County
2,3,26,3,26003,Michigan,Alger County
2,4,27,3,27003,Minnesota,Anoka County
3,6,28,3,28003,Mississippi,Alcorn County
2,4,29,3,29003,Missouri,Andrew County
4,8,30,3,30003,Montana,Big Horn County
2,4,31,3,31003,Nebraska,Antelope County
4,8,32,3,32003,Nevada,Clark County
1,1,33,3,33003,New Hampshire,Carroll County
1,2,34,3,34003,New Jersey,Bergen County
4,8,35,3,35003,New Mexico,Catron County
1,2,36,3,36003,New York,Allegany County
3,5,37,3,37003,North Carolina,Alexander County
2,4,38,3,38003,North Dakota,Barnes County
2,3,39,3,39003,Ohio,Allen County
3,7,40,3,40003,Oklahoma,Alfalfa County
4,9,41,3,41003,Oregon,Benton County
1,2,42,3,42003,Pennsylvania,Allegheny County
1,1,44,3,44003,Rhode Island,Kent County
3,5,45,3,45003,South Carolina,Aiken County
2,4,46,3,46003,South Dakota,Aurora County
3,6,47,3,47003,Tennessee,Bedford County
3,7,48,3,48003,Texas,Andrews County
4,8,49,3,49003,Utah,Box Elder County
1,1,50,3,50003,Vermont,Bennington County
3,5,51,3,51003,Virginia,Albemarle County
4,9,53,3,53003,Washington,Asotin County
3,5,54,3,54003,West Virginia,Berkeley County
2,3,55,3,55003,Wisconsin,Ashland County
4,8,56,3,56003,Wyoming,Big Horn County
3,7,22,5,22005,Louisiana,Ascension Parish
,,72,5,72005,Puerto Rico,Aguadilla Municipio
3,6,1,5,1005,Alabama,Barbour County
4,8,4,5,4005,Arizona,Coconino County
3,7,5,5,5005,Arkansas,Baxter County
4,9,6,5,6005,California,Amador County
4,8,8,5,8005,Colorado,Arapahoe County
1,1,9,5,9005,Connecticut,Litchfield County
3,5,10,5,10005,Delaware,Sussex County
3,5,12,5,12005,Florida,Bay County
3,5,13,5,13005,Georgia,Bacon County
4,9,15,5,15005,Hawaii,Kalawao County
4,8,16,5,16005,Idaho,Bannock County
2,3,17,5,17005,Illinois,Bond County
2,3,18,5,18005,Indiana,Bartholomew County
2,4,19,5,19005,Iowa,Allamakee County
2,4,20,5,20005,Kansas,Atchison County
3,6,21,5,21005,Kentucky,Anderson County
1,1,23,5,23005,Maine,Cumberland County
3,5,24,5,24005,Maryland,Baltimore County
1,1,25,5,25005,Massachusetts,Bristol County
2,3,26,5,26005,Michigan,Allegan County
2,4,27,5,27005,Minnesota,Becker County
3,6,28,5,28005,Mississippi,Amite County
2,4,29,5,29005,Missouri,Atchison County
4,8,30,5,30005,Montana,Blaine County
2,4,31,5,31005,Nebraska,Arthur County
4,8,32,5,32005,Nevada,Douglas County
1,1,33,5,33005,New Hampshire,Cheshire County
1,2,34,5,34005,New Jersey,Burlington County
4,8,35,5,35005,New Mexico,Chaves County
1,2,36,5,36005,New York,Bronx County
3,5,37,5,37005,North Carolina,Alleghany County
2,4,38,5,38005,North Dakota,Benson County
2,3,39,5,39005,Ohio,Ashland County
